site_id,week_label,flow_m3_s,lake_level_pct
LK-001,2026-01-20,7.2,93.3
LK-001,2026-02-20,10.6,30.9
LK-001,2026-03-20,9.1,78.7
LK-001,2026-04-20,4.6,18.1
LK-001,2026-05-20,2.6,34.6
LK-001,2026-06-20,5.2,26.0
LK-001,2026-07-20,7.9,75.6
LK-001,2026-08-20,8.7,99.0
LK-002,2026-01-20,5.1,83.9
LK-002,2026-02-20,11.6,32.5
LK-002,2026-03-20,5.8,92.3
LK-002,2026-04-20,13.3,26.1
LK-002,2026-05-20,12.8,79.2
LK-002,2026-06-20,5.5,9.4
LK-002,2026-07-20,13.7,29.1
LK-002,2026-08-20,1.9,10.0
LK-003,2026-01-20,11.3,20.7
LK-003,2026-02-20,5.2,52.0
LK-003,2026-03-20,6.2,26.3
LK-003,2026-04-20,14.1,46.7
LK-003,2026-05-20,8.5,54.2
LK-003,2026-06-20,7.4,34.3
LK-003,2026-07-20,10.3,13.4
LK-003,2026-08-20,12.6,56.5
LK-004,2026-01-20,6.4,73.0
LK-004,2026-02-20,1.7,32.1
LK-004,2026-03-20,2.3,40.2
LK-004,2026-04-20,5.6,68.6
LK-004,2026-05-20,14.1,75.6
LK-004,2026-06-20,8.5,46.5
LK-004,2026-07-20,2.9,51.7
LK-004,2026-08-20,13.2,16.4
LK-005,2026-01-20,12.1,98.0
LK-005,2026-02-20,13.3,71.9
LK-005,2026-03-20,9.5,50.7
LK-005,2026-04-20,12.3,95.0
LK-005,2026-05-20,11.4,93.0
LK-005,2026-06-20,1.6,25.5
LK-005,2026-07-20,9.1,19.8
LK-005,2026-08-20,2.8,77.3
LK-006,2026-01-20,14.2,36.4
LK-006,2026-02-20,5.8,70.5
LK-006,2026-03-20,10.5,14.1
LK-006,2026-04-20,8.1,27.3
LK-006,2026-05-20,11.0,70.2
LK-006,2026-06-20,8.7,23.3
LK-006,2026-07-20,12.0,25.0
LK-006,2026-08-20,4.8,79.3
LK-007,2026-01-20,13.4,5.2
LK-007,2026-02-20,10.4,35.9
LK-007,2026-03-20,3.5,52.3
LK-007,2026-04-20,13.7,74.7
LK-007,2026-05-20,10.3,22.4
LK-007,2026-06-20,12.4,90.3
LK-007,2026-07-20,5.8,77.4
LK-007,2026-08-20,6.1,9.8
LK-008,2026-01-20,3.0,67.5
LK-008,2026-02-20,5.1,92.6
LK-008,2026-03-20,12.1,21.7
LK-008,2026-04-20,6.0,53.9
LK-008,2026-05-20,2.7,37.9
LK-008,2026-06-20,5.1,56.8
LK-008,2026-07-20,11.0,91.7
LK-008,2026-08-20,10.6,6.4
LK-009,2026-01-20,7.2,53.5
LK-009,2026-02-20,5.7,95.8
LK-009,2026-03-20,8.7,15.3
LK-009,2026-04-20,10.2,94.8
LK-009,2026-05-20,5.9,62.6
LK-009,2026-06-20,4.6,57.4
LK-009,2026-07-20,14.5,3.7
LK-009,2026-08-20,7.0,3.1
LK-010,2026-01-20,9.6,36.9
LK-010,2026-02-20,12.5,42.5
LK-010,2026-03-20,5.0,9.8
LK-010,2026-04-20,11.3,35.1
LK-010,2026-05-20,9.1,82.1
LK-010,2026-06-20,9.6,39.6
LK-010,2026-07-20,11.8,7.9
LK-010,2026-08-20,7.3,45.9
LK-011,2026-01-20,11.4,47.1
LK-011,2026-02-20,5.5,25.4
LK-011,2026-03-20,3.1,4.7
LK-011,2026-04-20,3.5,62.4
LK-011,2026-05-20,12.8,10.7
LK-011,2026-06-20,8.9,34.5
LK-011,2026-07-20,14.4,15.8
LK-011,2026-08-20,12.1,18.4
LK-012,2026-01-20,8.6,90.4
LK-012,2026-02-20,13.6,5.7
LK-012,2026-03-20,1.5,96.9
LK-012,2026-04-20,7.4,71.0
LK-012,2026-05-20,9.0,34.8
LK-012,2026-06-20,5.6,66.5
LK-012,2026-07-20,8.2,49.1
LK-012,2026-08-20,8.4,71.8
