site_id,week_label,rainfall_mm
LK-001,2026-01-20,19.8
LK-001,2026-02-20,30.1
LK-001,2026-03-20,10.6
LK-001,2026-04-20,22.6
LK-001,2026-05-20,25.2
LK-001,2026-06-20,8.9
LK-001,2026-07-20,10.0
LK-001,2026-08-20,19.0
LK-002,2026-01-20,34.4
LK-002,2026-02-20,19.0
LK-002,2026-03-20,0.4
LK-002,2026-04-20,5.6
LK-002,2026-05-20,1.5
LK-002,2026-06-20,28.4
LK-002,2026-07-20,13.5
LK-002,2026-08-20,2.4
LK-003,2026-01-20,17.7
LK-003,2026-02-20,21.1
LK-003,2026-03-20,34.5
LK-003,2026-04-20,15.1
LK-003,2026-05-20,36.4
LK-003,2026-06-20,36.1
LK-003,2026-07-20,20.8
LK-003,2026-08-20,10.0
LK-004,2026-01-20,21.1
LK-004,2026-02-20,28.1
LK-004,2026-03-20,21.2
LK-004,2026-04-20,2.5
LK-004,2026-05-20,33.3
LK-004,2026-06-20,11.7
LK-004,2026-07-20,11.8
LK-004,2026-08-20,1.6
LK-005,2026-01-20,16.4
LK-005,2026-02-20,29.9
LK-005,2026-03-20,23.9
LK-005,2026-04-20,33.8
LK-005,2026-05-20,1.0
LK-005,2026-06-20,0.3
LK-005,2026-07-20,33.3
LK-005,2026-08-20,2.3
LK-006,2026-01-20,10.6
LK-006,2026-02-20,32.9
LK-006,2026-03-20,14.2
LK-006,2026-04-20,35.5
LK-006,2026-05-20,9.4
LK-006,2026-06-20,12.3
LK-006,2026-07-20,25.9
LK-006,2026-08-20,6.1
LK-007,2026-01-20,8.1
LK-007,2026-02-20,6.2
LK-007,2026-03-20,11.7
LK-007,2026-04-20,18.6
LK-007,2026-05-20,16.4
LK-007,2026-06-20,5.6
LK-007,2026-07-20,10.9
LK-007,2026-08-20,31.8
LK-008,2026-01-20,3.5
LK-008,2026-02-20,4.6
LK-008,2026-03-20,31.3
LK-008,2026-04-20,30.9
LK-008,2026-05-20,34.3
LK-008,2026-06-20,34.6
LK-008,2026-07-20,21.1
LK-008,2026-08-20,35.8
LK-009,2026-01-20,20.2
LK-009,2026-02-20,25.0
LK-009,2026-03-20,27.8
LK-009,2026-04-20,21.7
LK-009,2026-05-20,5.6
LK-009,2026-06-20,24.5
LK-009,2026-07-20,33.3
LK-009,2026-08-20,15.1
LK-010,2026-01-20,13.3
LK-010,2026-02-20,36.4
LK-010,2026-03-20,18.4
LK-010,2026-04-20,9.3
LK-010,2026-05-20,21.9
LK-010,2026-06-20,24.9
LK-010,2026-07-20,37.1
LK-010,2026-08-20,18.8
LK-011,2026-01-20,23.0
LK-011,2026-02-20,19.5
LK-011,2026-03-20,27.0
LK-011,2026-04-20,35.0
LK-011,2026-05-20,17.7
LK-011,2026-06-20,14.0
LK-011,2026-07-20,32.3
LK-011,2026-08-20,14.1
LK-012,2026-01-20,0.0
LK-012,2026-02-20,11.4
LK-012,2026-03-20,36.6
LK-012,2026-04-20,1.9
LK-012,2026-05-20,21.0
LK-012,2026-06-20,18.2
LK-012,2026-07-20,13.3
LK-012,2026-08-20,24.0
