site_id,capture_date,ndci_index,surface_reflectance,cloud_cover_pct
LK-001,2026-08-07,0.128,0.306,29.6
LK-001,2026-08-14,0.209,0.383,3.4
LK-001,2026-08-21,0.235,0.223,15.6
LK-002,2026-08-07,0.193,0.418,37.5
LK-002,2026-08-14,0.139,0.054,14.7
LK-002,2026-08-21,0.172,0.449,14.9
LK-003,2026-08-07,0.154,0.095,36.4
LK-003,2026-08-14,0.008,0.081,10.1
LK-003,2026-08-21,0.084,0.239,33.6
LK-004,2026-08-07,0.005,0.289,19.3
LK-004,2026-08-14,0.157,0.053,29.1
LK-004,2026-08-21,0.092,0.073,37.2
LK-005,2026-08-07,0.108,0.43,10.6
LK-005,2026-08-14,0.033,0.396,45.4
LK-005,2026-08-21,0.127,0.191,36.2
LK-006,2026-08-07,0.044,0.264,33.2
LK-006,2026-08-14,0.215,0.054,34.2
LK-006,2026-08-21,0.209,0.2,12.9
LK-007,2026-08-07,0.085,0.062,39.0
LK-007,2026-08-14,0.056,0.315,37.9
LK-007,2026-08-21,-0.113,0.126,21.2
LK-008,2026-08-07,0.1,0.197,14.8
LK-008,2026-08-14,-0.111,0.221,45.2
LK-008,2026-08-21,-0.109,0.29,11.4
LK-009,2026-08-07,0.23,0.373,11.9
LK-009,2026-08-14,0.23,0.174,33.8
LK-009,2026-08-21,-0.026,0.167,4.9
LK-010,2026-08-07,-0.014,0.214,3.2
LK-010,2026-08-14,-0.116,0.054,42.5
LK-010,2026-08-21,0.029,0.417,24.1
LK-011,2026-08-07,0.081,0.199,37.9
LK-011,2026-08-14,0.004,0.373,20.0
LK-011,2026-08-21,-0.074,0.217,3.3
LK-012,2026-08-07,0.019,0.205,34.5
LK-012,2026-08-14,0.24,0.112,30.0
LK-012,2026-08-21,0.181,0.323,12.7
