site_id,site_name,water_temp_c,total_nitrogen_mg_l,total_phosphorus_mg_l,rainfall_7d_mm,flow_m3_s,chlorophyll_a_ug_l,turbidity_ntu
LK-001,Emerald Lake,29.5,4.04,0.304,11.2,8.8,41.3,21.7
LK-002,Silver Reservoir,18.8,6.15,0.29,18.8,9.2,41.7,11.3
LK-003,Willow Basin,30.7,4.59,0.109,17.9,12.5,16.3,22.6
LK-004,Bluewater Lake,27.5,3.04,0.02,23.2,6.9,32.7,30.7
LK-005,Cedar Reservoir,23.9,1.55,0.334,18.1,9.8,22.4,28.1
LK-006,Sunset Lake,23.1,1.62,0.088,49.9,4.7,3.6,10.4
LK-007,Maple Wetland,31.7,4.67,0.252,33.1,10.9,13.3,32.0
LK-008,Harbor Reservoir,17.2,4.27,0.409,54.6,2.4,26.1,16.5
LK-009,Pine Lake,31.7,0.51,0.025,11.7,5.4,37.4,28.7
LK-010,Riverstone Reservoir,27.6,0.67,0.09,31.7,8.7,32.3,29.2
LK-011,Lotus Lake,21.5,1.48,0.189,22.9,10.2,37.8,40.4
LK-012,Granite Basin,18.9,5.12,0.026,14.5,9.6,15.6,41.5
